date,cash,position_value,total_value,daily_return,shares_held,year,month
2023-07-21,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,7
2023-07-22,100008.33927929703,2774.3228012113423,102782.66208050837,-4.04865532126486e-05,5,2023,7
2023-07-23,100008.33927929703,2666.443630926055,102674.78291022308,-0.0010495852909587766,5,2023,7
2023-07-24,100008.33927929703,2645.603356539307,102653.94263583633,-0.00020297363964205672,5,2023,7
2023-07-25,100008.33927929703,2650.8974545407204,102659.23673383775,5.157228125374225e-05,5,2023,7
2023-07-26,100008.33927929703,2746.589765752682,102754.9290450497,0.0009321354245019897,5,2023,7
2023-07-27,100008.33927929703,2760.055904071042,102768.39518336806,0.0001310510205545512,5,2023,7
2023-07-28,100008.33927929703,2774.072621214439,102782.41190051146,0.0001363913206817724,5,2023,7
2023-07-29,100008.33927929703,2815.9668876880055,102824.30616698503,0.00040760151176555404,5,2023,7
2023-07-30,100008.33927929703,2629.5903451509366,102637.92962444796,-0.001812572819449798,5,2023,7
2023-07-31,100008.33927929703,2602.0860571828166,102610.42533647985,-0.0002679739163558015,5,2023,7
2023-08-01,100008.33927929703,2630.2625956801476,102638.60187497718,0.0002745972293256571,5,2023,8
2023-08-02,100008.33927929703,2519.232646859928,102527.57192615696,-0.0010817562475710085,5,2023,8
2023-08-03,100008.33927929703,2591.5319140657452,102599.87119336278,0.0007051690179289416,5,2023,8
2023-08-04,100008.33927929703,2671.1125616341137,102679.45184093114,0.0007756408136068149,5,2023,8
2023-08-05,100008.33927929703,2707.588160934524,102715.92744023155,0.0003552375733064661,5,2023,8
2023-08-06,100008.33927929703,2727.920588243382,102736.25986754042,0.0001979481450984366,5,2023,8
2023-08-07,100008.33927929703,2894.2765617784135,102902.61584107544,0.001619252771606794,5,2023,8
2023-08-08,100008.33927929703,2911.8984786482115,102920.23775794524,0.00017124848310001717,5,2023,8
2023-08-09,100008.33927929703,2910.0877257694474,102918.42700506648,-1.7593749472522013e-05,5,2023,8
2023-08-10,102866.51199837783,0.0,102866.51199837783,-0.000504428683952729,0,2023,8
2023-08-11,102866.51199837783,0.0,102866.51199837783,0.0,0,2023,8
2023-08-12,101731.16188573798,1133.6496381825787,102864.81152392057,-1.6530884777044008e-05,2,2023,8
2023-08-13,101731.16188573798,1122.1196486025785,102853.28153434055,-0.00011208876397283962,2,2023,8
2023-08-14,101731.16188573798,1127.185169923874,102858.34705566186,4.9249972832621225e-05,2,2023,8
2023-08-15,101731.16188573798,1119.527318674963,102850.68920441295,-7.445045995890798e-05,2,2023,8
2023-08-16,101731.16188573798,1136.8292640118252,102867.99114974981,0.00016822391245696622,2,2023,8
2023-08-17,101731.16188573798,1165.464781404567,102896.62666714254,0.0002783715038339185,2,2023,8
2023-08-18,101731.16188573798,1203.451363905322,102934.6132496433,0.0003691722822327659,2,2023,8
2023-08-19,101731.16188573798,1166.0016063371327,102897.16349207511,-0.0003638208410747801,2,2023,8
